Date,State,Number of Confirmed Cases
1/22/20,Alabama,0
1/23/20,Alabama,0
1/24/20,Alabama,0
1/25/20,Alabama,0
1/26/20,Alabama,0
1/27/20,Alabama,0
1/28/20,Alabama,0
1/29/20,Alabama,0
1/30/20,Alabama,0
1/31/20,Alabama,0
2/1/20,Alabama,0
2/2/20,Alabama,0
2/3/20,Alabama,0
2/4/20,Alabama,0
2/5/20,Alabama,0
2/6/20,Alabama,0
2/7/20,Alabama,0
2/8/20,Alabama,0
2/9/20,Alabama,0
2/10/20,Alabama,0
2/11/20,Alabama,0
2/12/20,Alabama,0
2/13/20,Alabama,0
2/14/20,Alabama,0
2/15/20,Alabama,0
2/16/20,Alabama,0
2/17/20,Alabama,0
2/18/20,Alabama,0
2/19/20,Alabama,0
2/20/20,Alabama,0
2/21/20,Alabama,0
2/22/20,Alabama,0
2/23/20,Alabama,0
2/24/20,Alabama,0
2/25/20,Alabama,0
2/26/20,Alabama,0
2/27/20,Alabama,0
2/28/20,Alabama,0
2/29/20,Alabama,0
3/1/20,Alabama,0
3/2/20,Alabama,0
3/3/20,Alabama,0
3/4/20,Alabama,0
3/5/20,Alabama,0
3/6/20,Alabama,0
3/7/20,Alabama,0
3/8/20,Alabama,0
3/9/20,Alabama,0
3/10/20,Alabama,0
3/11/20,Alabama,3
3/12/20,Alabama,4
3/13/20,Alabama,8
3/14/20,Alabama,15
3/15/20,Alabama,28
3/16/20,Alabama,36
3/17/20,Alabama,51
3/18/20,Alabama,61
3/19/20,Alabama,88
3/20/20,Alabama,115
3/21/20,Alabama,149
3/22/20,Alabama,180
3/23/20,Alabama,224
3/24/20,Alabama,298
3/25/20,Alabama,472
3/26/20,Alabama,574
3/27/20,Alabama,684
3/28/20,Alabama,801
3/29/20,Alabama,880
3/30/20,Alabama,1001
3/31/20,Alabama,1063
4/1/20,Alabama,1175
4/2/20,Alabama,1371
4/3/20,Alabama,1606
4/4/20,Alabama,1727
4/5/20,Alabama,1905
4/6/20,Alabama,2079
4/7/20,Alabama,2308
4/8/20,Alabama,2614
4/9/20,Alabama,2954
4/10/20,Alabama,3112
4/11/20,Alabama,3346
4/12/20,Alabama,3667
4/13/20,Alabama,3870
4/14/20,Alabama,4041
4/15/20,Alabama,4307
4/16/20,Alabama,4465
4/17/20,Alabama,4557
4/18/20,Alabama,4788
4/19/20,Alabama,4978
4/20/20,Alabama,5163
4/21/20,Alabama,5404
4/22/20,Alabama,5692
4/23/20,Alabama,5899
4/24/20,Alabama,6092
4/25/20,Alabama,6274
4/26/20,Alabama,6475
4/27/20,Alabama,6621
4/28/20,Alabama,6820
4/29/20,Alabama,6979
4/30/20,Alabama,7187
5/1/20,Alabama,7440
5/2/20,Alabama,7700
5/3/20,Alabama,7977
5/4/20,Alabama,8203
5/5/20,Alabama,8520
5/6/20,Alabama,8769
5/7/20,Alabama,9115
5/8/20,Alabama,9437
5/9/20,Alabama,9720
5/10/20,Alabama,9982
5/11/20,Alabama,10262
5/12/20,Alabama,10566
5/13/20,Alabama,10822
