Date,State,Number of Death Cases
1/22/20,Alabama,0
1/23/20,Alabama,0
1/24/20,Alabama,0
1/25/20,Alabama,0
1/26/20,Alabama,0
1/27/20,Alabama,0
1/28/20,Alabama,0
1/29/20,Alabama,0
1/30/20,Alabama,0
1/31/20,Alabama,0
2/1/20,Alabama,0
2/2/20,Alabama,0
2/3/20,Alabama,0
2/4/20,Alabama,0
2/5/20,Alabama,0
2/6/20,Alabama,0
2/7/20,Alabama,0
2/8/20,Alabama,0
2/9/20,Alabama,0
2/10/20,Alabama,0
2/11/20,Alabama,0
2/12/20,Alabama,0
2/13/20,Alabama,0
2/14/20,Alabama,0
2/15/20,Alabama,0
2/16/20,Alabama,0
2/17/20,Alabama,0
2/18/20,Alabama,0
2/19/20,Alabama,0
2/20/20,Alabama,0
2/21/20,Alabama,0
2/22/20,Alabama,0
2/23/20,Alabama,0
2/24/20,Alabama,0
2/25/20,Alabama,0
2/26/20,Alabama,0
2/27/20,Alabama,0
2/28/20,Alabama,0
2/29/20,Alabama,0
3/1/20,Alabama,0
3/2/20,Alabama,0
3/3/20,Alabama,0
3/4/20,Alabama,0
3/5/20,Alabama,0
3/6/20,Alabama,0
3/7/20,Alabama,0
3/8/20,Alabama,0
3/9/20,Alabama,0
3/10/20,Alabama,0
3/11/20,Alabama,0
3/12/20,Alabama,0
3/13/20,Alabama,0
3/14/20,Alabama,0
3/15/20,Alabama,0
3/16/20,Alabama,0
3/17/20,Alabama,0
3/18/20,Alabama,0
3/19/20,Alabama,0
3/20/20,Alabama,0
3/21/20,Alabama,0
3/22/20,Alabama,0
3/23/20,Alabama,0
3/24/20,Alabama,0
3/25/20,Alabama,1
3/26/20,Alabama,1
3/27/20,Alabama,4
3/28/20,Alabama,4
3/29/20,Alabama,10
3/30/20,Alabama,10
3/31/20,Alabama,23
4/1/20,Alabama,27
4/2/20,Alabama,32
4/3/20,Alabama,38
4/4/20,Alabama,44
4/5/20,Alabama,45
4/6/20,Alabama,49
4/7/20,Alabama,64
4/8/20,Alabama,66
4/9/20,Alabama,70
4/10/20,Alabama,80
4/11/20,Alabama,92
4/12/20,Alabama,93
4/13/20,Alabama,99
4/14/20,Alabama,114
4/15/20,Alabama,118
4/16/20,Alabama,133
4/17/20,Alabama,148
4/18/20,Alabama,153
4/19/20,Alabama,157
4/20/20,Alabama,163
4/21/20,Alabama,183
4/22/20,Alabama,196
4/23/20,Alabama,202
4/24/20,Alabama,209
4/25/20,Alabama,209
4/26/20,Alabama,219
4/27/20,Alabama,228
4/28/20,Alabama,242
4/29/20,Alabama,256
4/30/20,Alabama,272
5/1/20,Alabama,289
5/2/20,Alabama,288
5/3/20,Alabama,290
5/4/20,Alabama,298
5/5/20,Alabama,315
5/6/20,Alabama,343
5/7/20,Alabama,369
5/8/20,Alabama,383
5/9/20,Alabama,390
5/10/20,Alabama,393
5/11/20,Alabama,403
5/12/20,Alabama,435
5/13/20,Alabama,450
5/14/20,Alabama,473
5/15/20,Alabama,483
5/16/20,Alabama,485
5/17/20,Alabama,488
