,Date,Province_State,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
1,2020-12-15,Alabama,0,0,0,0
2,2020-12-15,Alaska,0,0,0,0
3,2020-12-15,American Samoa,0,0,0,0
4,2020-12-15,Arizona,0,0,0,0
5,2020-12-15,Arkansas,0,0,0,0
6,2020-12-15,California,0,0,0,0
7,2020-12-15,Colorado,0,0,0,0
8,2020-12-15,Connecticut,0,0,0,0
9,2020-12-15,Delaware,0,0,0,0
10,2020-12-15,District of Columbia,0,0,0,0
11,2020-12-15,Florida,0,0,0,0
12,2020-12-15,Georgia,0,0,0,0
13,2020-12-15,Guam,0,0,0,0
14,2020-12-15,Hawaii,0,0,0,0
15,2020-12-15,Idaho,0,0,0,0
16,2020-12-15,Illinois,0,0,0,0
17,2020-12-15,Indiana,0,0,0,0
18,2020-12-15,Iowa,0,0,0,0
19,2020-12-15,Kansas,0,0,0,0
20,2020-12-15,Kentucky,0,0,0,0
21,2020-12-15,Louisiana,0,0,0,0
22,2020-12-15,Maine,0,0,0,0
23,2020-12-15,Maryland,0,0,0,0
24,2020-12-15,Massachusetts,0,0,0,0
25,2020-12-15,Michigan,0,0,0,0
26,2020-12-15,Minnesota,0,0,0,0
27,2020-12-15,Mississippi,0,0,0,0
28,2020-12-15,Missouri,0,0,0,0
29,2020-12-15,Montana,0,0,0,0
30,2020-12-15,Nebraska,0,0,0,0
31,2020-12-15,Nevada,0,0,0,0
32,2020-12-15,New Hampshire,0,0,0,0
33,2020-12-15,New Jersey,0,0,0,0
34,2020-12-15,New Mexico,0,0,0,0
35,2020-12-15,New York,0,0,0,0
36,2020-12-15,North Carolina,0,0,0,0
37,2020-12-15,North Dakota,0,0,0,0
38,2020-12-15,Northern Mariana Islands,0,0,0,0
39,2020-12-15,Ohio,0,0,0,0
40,2020-12-15,Oklahoma,0,0,0,0
41,2020-12-15,Oregon,0,0,0,0
42,2020-12-15,Pennsylvania,0,0,0,0
43,2020-12-15,Puerto Rico,0,0,0,0
44,2020-12-15,Rhode Island,0,0,0,0
45,2020-12-15,South Carolina,5,0,0,0
46,2020-12-15,South Dakota,0,0,0,0
47,2020-12-15,Tennessee,0,0,0,0
48,2020-12-15,Texas,441,0,0,0
49,2020-12-15,Utah,0,0,0,0
50,2020-12-15,Vermont,0,0,0,0
51,2020-12-15,Virgin Islands,0,0,0,0
52,2020-12-15,Virginia,0,0,0,0
53,2020-12-15,Washington,0,0,0,0
54,2020-12-15,West Virginia,29,0,0,0
55,2020-12-15,Wisconsin,0,0,0,0
56,2020-12-15,Wyoming,0,0,0,0
